target,tweet,stance
We should ban cosmetic surgery for minors,a minor is in no way responsible enough to make the decision of getting cosmetic surgery.  you see too many kids doing it because they want to look like a pop idol fad.  it is dangerous.,1
We should ban cosmetic surgery for minors,a minor is not old enough to make decisions on something that will change them forever,1
We should ban cosmetic surgery for minors,a minor is still growing so any cosmetic surgery may well result in a less than desirable result when they are fully grown.,1
We should ban cosmetic surgery for minors,a minor should be allowed to under go cosmetic surgery if it would improve how they see themselves and help their confidence.  such things would follow them into adulthood in a positive manner.,-1
We should ban cosmetic surgery for minors,a minor should have control over their own body,-1
We should ban cosmetic surgery,a mistake could cause permanent disfigurement of a person,1
We should subsidize stay-at-home dads,"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' emotional bonding.",1
We should adopt a multi-party system,a mulit-party system is needed because there are more opinions than just democrat and repulblican,1
We should adopt a multi-party system,"a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better",1
We should adopt a multi-party system,a multi party system allows for a larger group of qualified individuals,1
We should adopt a multi-party system,a multi party system creates chaos by giving too many choices to the people,-1
We should adopt a multi-party system,a multi party system does not always help things. what is to say we get multiple bad choices and we have to end up choosing the lesser of two evils?,-1
We should adopt a multi-party system,a multi party system ensures that everyone’s viewpoint can be represented and taken into account rather than only a minority.,1
We should adopt a multi-party system,a multi party system helps ensure all people are represented and that no one party or faction becomes too strong. multi party systems are more equitable at all levels and not all in favor of one group.,1
We should adopt a multi-party system,"a multi party system is too volatile, there's no stability and no consistency",-1
We should adopt a multi-party system,A multi party system might be too confusing because there would be too many candidates with too many opinions and would be hard to vote.,-1
We should adopt a multi-party system,a multi party system will help us choose the best person for the job.,1
We should adopt a multi-party system,a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,-1
We should adopt a multi-party system,a multi party system would bring many new & fresh ideas into the forefront,1
We should adopt a multi-party system,a multi party system would ensure more people get their viewpoint taken into account.,1
We should adopt a multi-party system,"a multi party system would represent all those that voted, not just those that voted for one party so a fairer system of governance would be in place.",1
We should adopt a multi-party system,a multi party system would spend more time arguing than resolving problems and wouldn’t be beneficial.,-1
We should adopt a multi-party system,a multi party sytem is not in agreement with the constitution.,-1
We should adopt a multi-party system,a multi-oart system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,1
We should adopt a multi-party system,"a multi-oarty system can decrease the votes of a specific candidate, making the votes misappropriated.",-1
We should adopt a multi-party system,a multi-party ensures that all people and voices are heard and represented.,1
We should adopt a multi-party system,a multi-party is essential to allow for democracy and prevent autocratic regimes coming to power.,1
We should adopt a multi-party system,a multi-party system allows a greater freedom of choice for voters to express their democratic right to vote for policies they would like to implimented.,1
We should adopt a multi-party system,a multi-party system allows a greater number of views to be heard.,1
We should adopt a multi-party system,a multi-party system allows a number of parties to enter government and is a benchmark of democracy.,1
We should adopt a multi-party system,a multi-party system allows all political parties to be represented for all people,1
We should adopt a multi-party system,a multi-party system allows for a broad range of ideas to be heard and implemented.,1
We should adopt a multi-party system,"a multi-party system allows for a much more diverse spectrum of options for an individual to find the right party to vote for, to really represent them",1
We should adopt a multi-party system,a multi-party system allows for diverse thinking and a larger choice for the people,1
We should adopt a multi-party system,A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.,1
We should adopt a multi-party system,a multi-party system allows for greater freedom of choice and expression of opinion,1
We should adopt a multi-party system,"a multi-party system allows for greater freedom of choice, as a greater number of major parties would cover more ideological viewpoints.",1
We should adopt a multi-party system,a multi-party system allows for greater freedom of expression for the electorate and reduces the need to vote for who you disagree with the least,1
We should adopt a multi-party system,a multi-party system allows for more choices to address the views and issues of the people that multi candidates provide.,1
We should adopt a multi-party system,"a multi-party system allows for more ideas, more candidates, more voters turning out.",1
We should adopt a multi-party system,a multi-party system allows for more unqualified people to get into the race,1
We should adopt a multi-party system,a multi-party system allows for more views and ideals to be represented.,1
We should adopt a multi-party system,a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,1
We should adopt a multi-party system,a multi-party system allows for the people to choose between sets of ideas they want to govern the country.,1
We should adopt a multi-party system,A multi-party system allows open and constructive criticism of the ruling government and prevents tyranny.,1
We should adopt a multi-party system,a multi-party system as this will ensure that all policies are agreed upon and not forced through by a small majority. it will also ensure that a wider section of beliefs and opinions is represented.,1
We should adopt a multi-party system,a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree,-1
We should adopt a multi-party system,a multi-party system brings diversity to the political realm which helps people better decide where there vote should go,1
We should adopt a multi-party system,a multi-party system can bring continued bickering and endless in-fighting to a system of government that should be as simple as 'obey the law'.,-1
We should adopt a multi-party system,a multi-party system can increase the views of the people and allow for more choices.,1
We should adopt a multi-party system,a multi-party system can open the door to getting poor leaders out of office and creating change.,1
We should adopt a multi-party system,a multi-party system can result of the election of someone who is supported by a small number of citizens,-1
We should adopt a multi-party system,a multi-party system could add more complexity and create situations where issues become impossible to resolve.,-1
We should adopt a multi-party system,a multi-party system could be very beneficial as it would allow for more opinions and more choices.,1
We should adopt a multi-party system,a multi-party system could cause too much in fighting between groups that should be cooperating.,-1
We should adopt a multi-party system,a multiparty system could increase political bureaucracy,-1
We should adopt a multi-party system,a multi-party system could lead to more situations where a majority is not reached. this means that it could be harder to push policies through.,-1
We should adopt a multi-party system,a multi-party system could make it harder for decisions to be made as more opinions will complicate things.,-1
We should adopt a multi-party system,a multi-party system could mean that it is more difficult to agree on any answers as  it is more likely that there will not be a majority on issues.,-1
We should adopt a multi-party system,a multi-party system creates chaos.  more is not merrier in this type of case.,-1
We should adopt a multi-party system,a multi-party system enables the people to have more of a say in what happens in their country.,1
We should adopt a multi-party system,a multi-party system encourages innovation and new ideas.,1
We should adopt a multi-party system,a multi-party system encourages parties with different political views to work together and discourages polarising adversarial politics,1
We should adopt a multi-party system,a multi-party system encourages weak and unstable coalition governments that are unable to pursue radical change,-1
We should adopt a multi-party system,"a multi-party system ensures that voters have the chance to elect politicians that most closely align with their believes, lessening the chance that they have to compromise on things they feel are important.",1
We should adopt a multi-party system,a multi-party system is clearly good for democracy. allowing opposing groups to work through their differences and give choice to the population in government elections.,1
We should adopt a multi-party system,a multi-party system is enshrined in democracy. anyone should have his ideology and choose the party of his choice,1
We should adopt a multi-party system,a multi-party system is great in that it provides voters with many different candidates with different views and ideas,1
We should adopt a multi-party system,A multiparty system is less likely to cater to extremists who are now only represented by small extreme parties rather than larger parties.,1
We should adopt a multi-party system,A multiparty system is less likely to have gridlock because there are more parties that are willing to compromise.,1
We should adopt a multi-party system,a multiparty system is more representative of the will of the people,1
We should adopt a multi-party system,A multi-party system is more responsive to a change or shift in public opinion.,1
We should adopt a multi-party system,"a multi-party system is the fairest representation of all political viewpoints, and would increase the electorate's engagement with politics in general.",1
We should adopt a multi-party system,"a multi-party system is the most democratic system available, since it gives recognition to a broader canvas of viewpoints.",1
We should adopt a multi-party system,a multi-party system lacks stability and costs huge amounts to run as many parties all campaign for their voice to be heard,-1
We should adopt a multi-party system,a multi-party system leads to disorganization and chaos.,-1
We should adopt a multi-party system,a multi-party system leads to too much division and there may never be an overall consensus,-1
We should adopt a multi-party system,a multi-party system leads to unstable goverment and does not reflect the will of the people accurately,-1
We should adopt a multi-party system,a multi-party system lets many views on important topics to be heard,1
We should adopt a multi-party system,a multi-party system makes it much more difficult to collaborate on ideas.,-1
We should adopt a multi-party system,a multi-party system makes sure more ideas are included.,1
We should adopt a multi-party system,a multi-party system makes sure that one political party doesn't hold all the power.,1
We should adopt a multi-party system,a multi-party system maximizes choice which would encourage greater voter participation.,1
We should adopt a multi-party system,a multi-party system means that more opinions will be heard and people will get a greater choice of who to vote for.,1
We should adopt a multi-party system,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.,1
We should adopt a multi-party system,a multi-party system muddies the waters with too many ideas,-1
We should adopt a multi-party system,a multi-party system never works because at the end of the day each party is out for themselves and don't work in the best interest of the people being represented.,-1
We should adopt a multi-party system,"a multi-party system offers too many options and decreases the election voting for one candidate, spreading out the votes over too many options.",-1
We should adopt a multi-party system,a multi-party system only makes it harder to choose a presidential candidate,-1
We should adopt a multi-party system,A multi-party system prevents the leadership of a single party from setting policy without challenge.,1
We should adopt a multi-party system,a multi-party system provides more choices to insure that the people have representation for their various beliefs beyond a simple two or single-party system.,1
We should adopt a multi-party system,A multiparty system reduces tactical voting (voting for a particular person or political party in order to prevent someone else from winning).,1
We should adopt a multi-party system,a multi-party system results in so many different platforms that there is no cohesion and nothing gets accomplished.,-1
We should adopt a multi-party system,"a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the peoples' votes.",-1
We should adopt a multi-party system,a multi-party system weakens speed of decision making and ensures no progress is made so we should not adopt it.,-1
We should adopt a multi-party system,a multi-party system will allow for more exchange of ideas and better development of our government.,1
We should adopt a multi-party system,a multi-party system will create confusion and deadlock.,-1
We should adopt a multi-party system,"a multi-party system will give more people with differing ideas, an opportunity to run for office",1
We should adopt a multi-party system,a multi-party system will help to ensure that more political agendas will be given the chance to represent the people,1
We should adopt a multi-party system,a multi-party system will just cause more arguments and political strongholds in our government.,-1
We should adopt a multi-party system,a multi-party system will lack real leadership and will mean that policies often end up being diluted or not passed at all as a majority can not be reached.,-1
We should adopt a multi-party system,a multi-party system will lead to a better diversity of viewpoints in government.,1
We should adopt a multi-party system,A multi-party system will make it so that everyone in the country is represented well.,1
We should adopt a multi-party system,a multi-party system will require large quantities of money that could better be used elsewhere,-1
We should adopt a multi-party system,a multi-party system will simply lead to legislative gridlock and nothing will get accomplished.,-1
We should adopt a multi-party system,a multi-party system will split the country even more.,-1
We should adopt a multi-party system,a multi-party system would allow more people to have their ideas represented.,1
We should adopt a multi-party system,a multi-party system would allow more views to be heard and more complex debates.,1
We should adopt a multi-party system,a multi-party system would be beneficial as more than one political view in government would ensure a fairer outcome.,1
We should adopt a multi-party system,a multi-party system would be divisive at a time when we need to pursue common interests.,-1
We should adopt a multi-party system,a multi-party system would be more representative of the public will.,1
We should adopt a multi-party system,a multiparty system would be more representative of the will of the people,1
We should adopt a multi-party system,a multi-party system would be too confusing,-1
We should adopt a multi-party system,a multiparty system would be too decentralized,-1
We should adopt a multi-party system,a multi-party system would breath new life into a system currently dominated by same people and ideas,1
We should adopt a multi-party system,"a multi-party system would bring a fairer balance to government, not leading to one extreme of politics or the other.",1
We should adopt a multi-party system,A multi-party system would bring in a lot more choice of representation for the people living in the country.,1
We should adopt a multi-party system,a multi-party system would bring more choices for people to speak up and vote.,1
We should adopt a multi-party system,A multi-party system would cause more confusion than there already is in the country and cause government to be even less effective.,-1
We should adopt a multi-party system,a multi-party system would ensure that there is an equal distribution of ideas in the political venue.,1
We should adopt a multi-party system,a multi-party system would give more groups the chance to have their political voices heard,1
We should adopt a multi-party system,a multi-party system would give voters more choices and even out the playing field.,1
We should adopt a multi-party system,a multi-party system would help bring new ideas,1
We should adopt a multi-party system,a multi-party system would help create more options for voters.,1
We should adopt a multi-party system,"a multi-party system would improve the democratic process by giving more traditionally marginalised views representation, and therefore improve peoples' motivation for voting.",1
We should adopt a multi-party system,a multi-party system would introduce new ideas,1
We should adopt a multi-party system,"a multi-party system would lead to invalid elections, with no one winning the majority of votes, thus no one wins",-1
We should adopt a multi-party system,A multi-party system would never get anything done as it would be nearly impossible for all of them to come into agreement about anything.,-1
We should adopt a multi-party system,a multi-party system would only lead to in fighting and less getting done.,-1
We should adopt a multi-party system,"a multi-party system would pollute the polls.  there would be too many options, meaning none would get the full vote they deserve or need.",-1
We should adopt a multi-party system,A multiparty system would require a complete overhaul of our democratic system.,-1
We should adopt a multi-party system,a multi-party system would ruin the country.,-1
We should adopt a multi-party system,a multi-party would not work in some countries where there is a monarchy and we should not interfere with stable regimes or try to impose our ideas on others.,-1
We should adopt a multi-party system,a mult-party system makes it too confusing for voters to pick candidates if they each have good platforms,-1
We should adopt a multi-party system,a new system would bring new life and create options,1
We should fight for the abolition of nuclear weapons,a nuclear free world would ensure humanities survival,1
We should fight for the abolition of nuclear weapons,"a nuclear war would kill everyone and everything on the whole planet, the whole human race would be wiped out, there is no way we would ever come back.",1
We should adopt a multi-party system,a one party system is a dictatorship.  russia under communism was a one party system. all people must follow the governments position without an opposing view.,1
We should legalize sex selection,"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",-1
Homeschooling should be banned,a parent knows best what is good for their kid,-1
Homeschooling should be banned,a parent knows their child better than anyone else and can personalize their teaching to that childs personality,-1
Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",-1
Entrapment should be legalized,a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,-1
We should prohibit flag burning,a person has a right to state his opinion about how he feels about his country,-1
We should ban cosmetic surgery,a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,-1
Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",-1
We should legalize prostitution,"A person has to earn money in order support himself/herself. For some, there are no viable alternatives to prostitution. Arresting someone for just trying to survive is unjust.",1
We should adopt gender-neutral language,a person is either male or female unless born hermaphrodite so pandering to people who have decided to be gender-neutral is another example of the world gone mad.,-1
We should end mandatory retirement,a person needs to be able to choose to work as long as they are well enough to do so.,1
We should abolish intellectual property rights,"a person or business has a right to profit or use their own invention, idea, process etc without fearing someone stealing it.",-1
We should abolish the right to keep and bear arms,a person should be able to bear arms to protect themselves and anyone around them,-1
The vow of celibacy should be abandoned,a person should be able to choose if they want to remain a virgin without persecution.,-1
We should legalize polygamy,a person should be able to choose who they want to spend their life with,1
Homeopathy brings more harm than good,a person should be allowed to choose a natural approach to curing their disease.  especially one that has existed since the 1700's.,-1
We should ban cosmetic surgery for minors,a person should be allowed to choose what happens to their bodies,-1
We should ban naturopathy,a person should decide what to do with their bodies not the government. if they desire to seek alternative medicine they should be free to do so,-1
Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,-1
Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,-1
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,-1
Assisted suicide should be a criminal offence,"a person should not be forced into having to live their lives suffering, when death is already enevitable",-1
We should abolish intellectual property rights,a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.,-1
We should limit executive compensation,a person who does a great job deserves to get extra income,-1
Assisted suicide should be a criminal offence,"a person who is terminally ill and suffering should be given the right to end his suffering, under medical supervision.",-1
We should subsidize vocational education,a person who receives a vocational education earns less over his or her lifetime than someone with a college degree.,-1
We should subsidize student loans,a person's education should be the responsibility of themselves,-1
We should adopt gender-neutral language,a persons identity is based on their gender and it should be acknowledged or it could prove offensive.,-1
We should end mandatory retirement,a person's value should not be based on a number.  just because you reach a certain age does not mean you do not want or need to work.  mandatory retirement hurts elderly workers.,1
We should abandon marriage,a piece of paper does not keep people together,1
We should adopt a multi-party system,a poll shows that more than 90% of the people are in support of a multi-party system in the usa.,1
The vow of celibacy should be abandoned,a priest chooses to make a vow to god to be celibate.  he is not forced.  if he chooses to become a priest he makes this vow.  we should not try to take this away from becoming a priest.,-1
We should close Guantanamo Bay detention camp,a prisoner camp should be based in the us so it can be fully governed by american laws.,1
Entrapment should be legalized,"a probable history of criminal activity is not evidence that it has taken place, and entrapment is by definition encouraging criminal activity, perhaps where none would otherwise take place.",-1
We should limit judicial activism,a range of opinions may be better than  facts.,-1
We should abandon marriage,a research carried out on a selected group of unmarried and divorced women found out that they preferred a lone life than an abusive marriage.,1
We should abolish safe spaces,a safe space does not permit discussion on anything that might inform uneducated people why their views are wrong,1
We should abolish safe spaces,a safe space is a great place for youth to hang out so that they are not in dangerous places.,-1
We should abolish safe spaces,a safe space is only necessary if students aren't taught proper behavior,1
We should abolish safe spaces,a safe space might mean the difference between coping and not coping with mental health.,-1
We should ban naturopathy,"a sick person should be allowed to try anything they want, long as it's legal, that claims it will help them with their ailment.",-1
We should limit judicial activism,a single judge cannot be granted free rein to bypass laws borne from democratic process,1
We should subsidize stay-at-home dads,a society should help the most vulnerable of us,1
We should subsidize stay-at-home dads,a society shouldn't be responsible for the decisions of an individual,-1
We should abolish intellectual property rights,a song or writing are works of art and their creators should benefit from  them,-1
We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,1
We should subsidize stay-at-home dads,a stay at home dad does so by choice. taxpayers shouldn't be forced to pay for other people's expenses because someone decided they didn't want to get a job.,-1
We should subsidize student loans,a student does not have the resources to pay for the high cost of college,1
We should subsidize student loans,a student loan is a loan that the person chose to take out.  there's no reason to offer a subsidy for them any more than any other type of loan.,-1
Foster care brings more harm than good,"a study comparing more than 22,000 former foster children with their age-matched peers found that the former group had  higher risk of  suicide attempts, risk of psychiatric disorders, and excess risks for psychosis and depression",1
We should ban cosmetic surgery for minors,"A surgeon would never agree to operate on a really young child or when it's dangerous, so the only kid's getting cosmetic surgery are those who are in their late teens and understand the outcomes.",-1
Surrogacy should be banned,a surrogate carrying a baby could try to keep it since they gave birth to it.,1
Surrogacy should be banned,a surrogate will often choose to carry a child for someone else if they are unable to get work,-1
We should introduce compulsory voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,1
We should end mandatory retirement,A system that fires the competent along with the incompetent solely because of age is irrational and cruel,1
We should ban the use of child actors,a talented child should be able to pursue their dreams and help make a story come to life.,-1
We should ban cosmetic surgery for minors,"a teen's body sometimes causes great distress, such as small breasts, exacerbated by bullying, teasing etc so cosmetic surgery could relieve large amounts of stress and unhappiness from some teenager's lives",-1
We should ban telemarketing,a telemarketing ban violates the first amendment rights of the telemarketer.,-1
We should fight for the abolition of nuclear weapons,A terrorist group with a nuclear weapon could cause immense and immediate damage and devastation.,1
We should legalize polygamy,A truly healthy and loving relationship can only develop in a monogamous relationship.,-1
We should adopt a multi-party system,a two party system provides discussion on different viewpoints,1
We should adopt a multi-party system,a two-party system has served us well for years; why change what has worked?,-1
We should stop the development of autonomous cars,a very high percentage of crashes are caused by distracted or drunk driving and with machines they can't be distracted or drunk,-1
